城市,日期,销售额,利润
Blantyre,2017-09-30,1625.23,-14.910000000000004
Blantyre,2017-12-31,0.0,0.0
Blantyre,2018-03-31,1095.27,75.7
Blantyre,2018-06-30,0.0,0.0
Blantyre,2018-09-30,1330.1,59.309999999999995
Blantyre,2018-12-31,0.0,0.0
Blantyre,2019-03-31,495.15,-31.2
Blantyre,2019-06-30,0.0,0.0
Blantyre,2019-09-30,670.13,46.91
Blantyre,2019-12-31,692.45,6.92
Blantyre,2020-03-31,292.46,14.62
Blantyre,2020-06-30,316.12,-6.32
Blantyre,2020-09-30,524.58,10.49
Blantyre,2020-12-31,333.07,-16.65
Brazzaville,2017-03-31,306.1,0.0
Brazzaville,2017-06-30,1675.54,10.590000000000003
Brazzaville,2017-09-30,0.0,0.0
Brazzaville,2017-12-31,483.35,-33.83
Brazzaville,2018-03-31,1022.56,-6.550000000000001
Brazzaville,2018-06-30,983.19,78.66
Brazzaville,2018-09-30,0.0,0.0
Brazzaville,2018-12-31,59.11,4.73
Brazzaville,2019-03-31,1491.56,78.62
Brazzaville,2019-06-30,0.0,0.0
Brazzaville,2019-09-30,146.09,11.69
Brazzaville,2019-12-31,498.92,-4.99
Brazzaville,2020-03-31,174.91,-7.0
Brazzaville,2020-06-30,340.78,-13.63
Brazzaville,2020-09-30,987.23,-9.87
Brazzaville,2020-12-31,535.14,-26.76
Bujumbura,2017-03-31,1356.1200000000001,69.97
Bujumbura,2017-06-30,542.68,0.0
Bujumbura,2017-09-30,0.0,0.0
Bujumbura,2017-12-31,81.63,0.82
Bujumbura,2018-03-31,349.79,-27.98
Bujumbura,2018-06-30,472.26,9.45
Bujumbura,2018-09-30,757.23,0.0
Bujumbura,2018-12-31,644.43,-6.44
Bujumbura,2019-03-31,118.96,-2.38
Bujumbura,2019-06-30,785.12,39.26
Bujumbura,2019-09-30,861.38,8.61
Bujumbura,2019-12-31,865.69,51.94
Bujumbura,2020-03-31,326.34,32.63
Bujumbura,2020-06-30,1044.73,-21.52
Bujumbura,2020-09-30,0.0,0.0
Bujumbura,2020-12-31,181.34,-12.69
Cairo,2017-03-31,1205.74,74.22
Cairo,2017-06-30,510.23,20.41
Cairo,2017-09-30,928.29,46.41
Cairo,2017-12-31,0.0,0.0
Cairo,2018-03-31,120.75,1.21
Cairo,2018-06-30,754.3,15.870000000000005
Cairo,2018-09-30,654.41,32.72
Cairo,2018-12-31,0.0,0.0
Cairo,2019-03-31,435.44,21.77
Cairo,2019-06-30,979.71,-20.630000000000003
Cairo,2019-09-30,0.0,0.0
Cairo,2019-12-31,485.04,-38.8
Cairo,2020-03-31,303.03,-18.18
Cairo,2020-06-30,510.23,17.35
Cairo,2020-09-30,0.0,0.0
Cairo,2020-12-31,506.78,-10.14
Cape Town,2017-03-31,173.98,-10.44
Cape Town,2017-06-30,478.39,19.14
Cape Town,2017-09-30,539.01,-43.12
Cape Town,2017-12-31,819.25,24.58
Cape Town,2018-03-31,1620.1399999999999,63.08
Cape Town,2018-06-30,0.0,0.0
Cape Town,2018-09-30,1444.37,43.900000000000006
Cape Town,2018-12-31,0.0,0.0
Cape Town,2019-03-31,90.93,-5.46
Cape Town,2019-06-30,1149.35,18.469999999999995
Cape Town,2019-09-30,263.38,-7.9
Cape Town,2019-12-31,0.0,0.0
Cape Town,2020-03-31,796.69,-47.8
Cape Town,2020-06-30,396.32,-11.89
Cape Town,2020-09-30,710.53,-14.21
Cape Town,2020-12-31,993.94,-49.7
Conakry,2017-03-31,1014.67,46.25
Conakry,2017-06-30,10.69,-0.75
Conakry,2017-09-30,0.0,0.0
Conakry,2017-12-31,291.86,-17.51
Conakry,2018-03-31,683.4100000000001,-39.72
Conakry,2018-06-30,0.0,0.0
Conakry,2018-09-30,197.63,1.98
Conakry,2018-12-31,371.08,-3.71
Conakry,2019-03-31,784.48,-39.22
Conakry,2019-06-30,1264.35,-19.2
Conakry,2019-09-30,0.0,0.0
Conakry,2019-12-31,350.47,28.04
Conakry,2020-03-31,547.17,16.42
Conakry,2020-06-30,821.64,-24.65
Conakry,2020-09-30,255.31,-12.77
Cotonou,2017-03-31,897.78,53.87
Cotonou,2017-06-30,435.48,8.71
Cotonou,2017-09-30,739.48,-7.39
Cotonou,2017-12-31,431.0,-21.55
Cotonou,2018-03-31,1063.73,95.74
Cotonou,2018-06-30,314.2,3.14
Cotonou,2018-09-30,506.77,-40.54
Cotonou,2018-12-31,0.0,0.0
Cotonou,2019-03-31,400.69,36.06
Cotonou,2019-06-30,852.18,-25.57
Cotonou,2019-09-30,1371.9099999999999,70.44
Cotonou,2019-12-31,0.0,0.0
Cotonou,2020-03-31,389.61,15.58
Cotonou,2020-06-30,583.79,11.68
Cotonou,2020-09-30,657.94,-38.64
Dakar,2017-03-31,445.95,11.04
Dakar,2017-06-30,0.0,0.0
Dakar,2017-09-30,494.29,13.93
Dakar,2017-12-31,0.0,0.0
Dakar,2018-03-31,1385.75,-105.91999999999999
Dakar,2018-06-30,101.35,1.01
Dakar,2018-09-30,0.0,0.0
Dakar,2018-12-31,699.02,-20.97
Dakar,2019-03-31,153.18,13.79
Dakar,2019-06-30,252.82,22.75
Dakar,2019-09-30,1003.01,55.790000000000006
Dakar,2019-12-31,0.0,0.0
Dakar,2020-03-31,435.47,12.75
Dakar,2020-06-30,0.0,0.0
Dakar,2020-09-30,471.73,23.05
Dakhla,2017-03-31,235.84,-2.36
Dakhla,2017-06-30,761.86,45.71
Dakhla,2017-09-30,737.15,51.6
Dakhla,2017-12-31,601.87,60.19
Dakhla,2018-03-31,623.24,-43.63
Dakhla,2018-06-30,440.8,30.86
Dakhla,2018-09-30,759.99,53.2
Dakhla,2018-12-31,216.43,-10.82
Dakhla,2019-03-31,388.17,19.41
Dakhla,2019-06-30,440.26,13.21
Dakhla,2019-09-30,834.1,9.23
Dakhla,2019-12-31,0.0,0.0
Dakhla,2020-03-31,91.21,-1.82
Dakhla,2020-06-30,158.62,7.93
Dakhla,2020-09-30,870.85,37.34
Dar es Salaam,2017-03-31,634.12,1.6999999999999997
Dar es Salaam,2017-06-30,0.0,0.0
Dar es Salaam,2017-09-30,196.25,-15.7
Dar es Salaam,2017-12-31,434.34,34.75
Dar es Salaam,2018-03-31,576.67,0.06
Dar es Salaam,2018-06-30,0.0,0.0
Dar es Salaam,2018-09-30,437.73,-30.64
Dar es Salaam,2018-12-31,70.25,5.62
Dar es Salaam,2019-03-31,661.42,6.61
Dar es Salaam,2019-06-30,98.4,3.94
Dar es Salaam,2019-09-30,846.06,59.22
Dar es Salaam,2019-12-31,505.64,-20.23
Dar es Salaam,2020-03-31,562.51,-33.75
Dar es Salaam,2020-06-30,471.51,37.72
Dar es Salaam,2020-09-30,202.36,-6.07
Dar es Salaam,2020-12-31,859.82,-60.19
Djibouti,2017-03-31,885.22,-26.56
Djibouti,2017-06-30,724.69,-7.25
Djibouti,2017-09-30,1395.1599999999999,21.15
Djibouti,2017-12-31,0.0,0.0
Djibouti,2018-03-31,422.1,-6.34
Djibouti,2018-06-30,688.39,-20.65
Djibouti,2018-09-30,818.68,40.93
Djibouti,2018-12-31,0.0,0.0
Djibouti,2019-03-31,833.21,16.66
Djibouti,2019-06-30,914.68,-30.630000000000003
Djibouti,2019-09-30,952.85,-28.59
Djibouti,2019-12-31,0.0,0.0
Djibouti,2020-03-31,1325.03,35.09
Djibouti,2020-06-30,0.0,0.0
Djibouti,2020-09-30,38.26,-0.77
Djibouti,2020-12-31,338.99,-6.78
Douala,2017-03-31,918.82,73.51
Douala,2017-06-30,731.43,-25.02
Douala,2017-09-30,609.53,42.67
Douala,2017-12-31,0.0,0.0
Douala,2018-03-31,232.36999999999998,-4.65
Douala,2018-06-30,0.0,0.0
Douala,2018-09-30,1493.83,-71.93
Douala,2018-12-31,0.0,0.0
Douala,2019-03-31,290.28,5.609999999999999
Douala,2019-06-30,275.11,-11.0
Douala,2019-09-30,977.32,58.64
Douala,2019-12-31,0.0,0.0
Douala,2020-03-31,708.83,49.62
Douala,2020-06-30,1164.97,27.69
Douala,2020-09-30,759.59,68.36
Durban,2017-03-31,687.95,-28.279999999999998
Durban,2017-06-30,0.0,0.0
Durban,2017-09-30,1504.8899999999999,106.32
Durban,2017-12-31,0.0,0.0
Durban,2018-03-31,1254.1,-36.18
Durban,2018-06-30,563.87,56.39
Durban,2018-09-30,857.7,-42.89
Durban,2018-12-31,0.0,0.0
Durban,2019-03-31,162.0,9.72
Durban,2019-06-30,827.47,8.27
Durban,2019-09-30,1475.0,34.48
Durban,2019-12-31,0.0,0.0
Durban,2020-03-31,499.85999999999996,24.76
Durban,2020-06-30,0.0,0.0
Durban,2020-09-30,1032.01,31.78
Freetown,2017-03-31,301.55,-6.03
Freetown,2017-06-30,695.88,-13.92
Freetown,2017-09-30,1150.41,2.39
Freetown,2017-12-31,0.0,0.0
Freetown,2018-03-31,1087.92,76.1
Freetown,2018-06-30,0.0,0.0
Freetown,2018-09-30,345.05,-17.25
Freetown,2018-12-31,364.23,0.0
Freetown,2019-03-31,490.82,-4.91
Freetown,2019-06-30,845.73,-33.14
Freetown,2019-09-30,400.86,-4.01
Freetown,2019-12-31,0.0,0.0
Freetown,2020-03-31,517.73,-21.200000000000003
Freetown,2020-06-30,465.79,4.66
Freetown,2020-09-30,0.0,0.0
Freetown,2020-12-31,427.16,0.0
Gaborone,2017-03-31,660.12,0.0
Gaborone,2017-06-30,953.86,95.39
Gaborone,2017-09-30,874.66,78.72
Gaborone,2017-12-31,114.52,-3.44
Gaborone,2018-03-31,1383.3700000000001,70.28
Gaborone,2018-06-30,430.46,25.83
Gaborone,2018-09-30,0.0,0.0
Gaborone,2018-12-31,197.18,-5.92
Gaborone,2019-03-31,471.08,0.0
Gaborone,2019-06-30,800.32,-48.02
Gaborone,2019-09-30,93.74,1.87
Gaborone,2019-12-31,137.27,-2.75
Gaborone,2020-03-31,662.15,-23.7
Gaborone,2020-06-30,0.0,0.0
Gaborone,2020-09-30,1154.9,-24.689999999999998
Harare,2017-03-31,1267.3400000000001,-38.940000000000005
Harare,2017-06-30,451.47,-31.6
Harare,2017-09-30,0.0,0.0
Harare,2017-12-31,231.41,-4.63
Harare,2018-03-31,337.98,13.52
Harare,2018-06-30,976.54,58.59
Harare,2018-09-30,758.17,-53.07
Harare,2018-12-31,641.5,-12.83
Harare,2019-03-31,1013.72,26.33
Harare,2019-06-30,954.5,-38.18
Harare,2019-09-30,225.21,-6.76
Harare,2019-12-31,0.0,0.0
Harare,2020-03-31,851.49,0.0
Harare,2020-06-30,179.71,8.99
Harare,2020-09-30,0.0,0.0
Harare,2020-12-31,394.28,-23.66
Ibadan,2017-03-31,1282.0700000000002,93.29
Ibadan,2017-06-30,0.0,0.0
Ibadan,2017-09-30,823.8,-61.33
Ibadan,2017-12-31,0.0,0.0
Ibadan,2018-03-31,739.52,66.63
Ibadan,2018-06-30,0.0,0.0
Ibadan,2018-09-30,922.03,27.66
Ibadan,2018-12-31,481.11,24.06
Ibadan,2019-03-31,563.81,-45.1
Ibadan,2019-06-30,2.69,-0.22
Ibadan,2019-09-30,724.95,0.0
Ibadan,2019-12-31,0.0,0.0
Ibadan,2020-03-31,705.47,-12.34
Ibadan,2020-06-30,0.0,0.0
Ibadan,2020-09-30,1217.99,48.72
Johannesburg,2017-03-31,155.86,-4.68
Johannesburg,2017-06-30,1667.84,18.63
Johannesburg,2017-09-30,0.0,0.0
Johannesburg,2017-12-31,957.83,-76.63
Johannesburg,2018-03-31,402.33,40.23
Johannesburg,2018-06-30,1768.8600000000001,32.17
Johannesburg,2018-09-30,0.0,0.0
Johannesburg,2018-12-31,406.44,28.45
Johannesburg,2019-03-31,978.07,-14.849999999999998
Johannesburg,2019-06-30,0.0,0.0
Johannesburg,2019-09-30,1125.44,-42.129999999999995
Johannesburg,2019-12-31,0.0,0.0
Johannesburg,2020-03-31,502.27,16.73
Johannesburg,2020-06-30,243.11,0.0
Johannesburg,2020-09-30,0.0,0.0
Johannesburg,2020-12-31,850.02,-51.0
Juba,2017-03-31,525.88,-33.21
Juba,2017-06-30,0.0,0.0
Juba,2017-09-30,443.6,-26.62
Juba,2017-12-31,372.63,-22.36
Juba,2018-03-31,771.7,30.87
Juba,2018-06-30,1112.46,72.42
Juba,2018-09-30,0.0,0.0
Juba,2018-12-31,330.27,26.42
Juba,2019-03-31,1340.14,-71.21000000000001
Juba,2019-06-30,0.0,0.0
Juba,2019-09-30,1088.7,-16.060000000000002
Juba,2019-12-31,0.0,0.0
Juba,2020-03-31,439.53999999999996,24.419999999999998
Juba,2020-06-30,0.0,0.0
Juba,2020-09-30,760.52,-38.03
Juba,2020-12-31,579.24,40.55
Kampala,2017-03-31,1632.84,-32.269999999999996
Kampala,2017-06-30,0.0,0.0
Kampala,2017-09-30,168.2,3.36
Kampala,2017-12-31,284.57,2.85
Kampala,2018-03-31,202.35,14.16
Kampala,2018-06-30,239.4,-9.58
Kampala,2018-09-30,634.2,-44.39
Kampala,2018-12-31,696.6,69.66
Kampala,2019-03-31,1063.54,6.119999999999997
Kampala,2019-06-30,830.39,-41.52
Kampala,2019-09-30,0.0,0.0
Kampala,2019-12-31,6.87,0.14
Kampala,2020-03-31,883.96,59.56
Kampala,2020-06-30,0.0,0.0
Kampala,2020-09-30,918.7,9.19
Kampala,2020-12-31,680.17,68.02
Kano,2017-03-31,580.55,-40.64
Kano,2017-06-30,626.23,-31.31
Kano,2017-09-30,717.72,-35.89
Kano,2017-12-31,572.13,17.16
Kano,2018-03-31,135.42000000000002,5.84
Kano,2018-06-30,0.0,0.0
Kano,2018-09-30,56.22,1.12
Kano,2018-12-31,66.13,-0.66
Kano,2019-03-31,364.23,21.85
Kano,2019-06-30,270.48,2.7
Kano,2019-09-30,51.79,0.52
Kano,2019-12-31,550.57,5.51
Kano,2020-03-31,808.77,-48.53
Kano,2020-06-30,1656.55,54.9
Kano,2020-09-30,992.34,29.77
Khartoum,2017-03-31,438.51,27.84
Khartoum,2017-06-30,1502.6599999999999,60.11
Khartoum,2017-09-30,719.6099999999999,-36.46
Khartoum,2017-12-31,541.59,43.33
Khartoum,2018-03-31,1896.3600000000001,86.32
Khartoum,2018-06-30,955.1299999999999,-37.57000000000001
Khartoum,2018-09-30,1348.47,-34.92
Khartoum,2018-12-31,984.51,29.54
Khartoum,2019-03-31,1192.0,53.97
Khartoum,2019-06-30,1150.2,32.63
Khartoum,2019-09-30,822.41,-32.9
Khartoum,2019-12-31,770.24,-14.18
Khartoum,2020-03-31,1798.59,-74.97
Khartoum,2020-06-30,816.28,40.81
Khartoum,2020-09-30,1396.63,42.98
Khartoum,2020-12-31,679.3,47.55
Kigali,2017-03-31,581.19,8.389999999999999
Kigali,2017-06-30,736.43,14.73
Kigali,2017-09-30,264.47,-5.29
Kigali,2017-12-31,0.0,0.0
Kigali,2018-03-31,1332.8,-41.07
Kigali,2018-06-30,646.27,45.24
Kigali,2018-09-30,435.41,4.35
Kigali,2018-12-31,0.0,0.0
Kigali,2019-03-31,543.44,32.61
Kigali,2019-06-30,1106.6,11.06
Kigali,2019-09-30,0.0,0.0
Kigali,2019-12-31,472.24,-37.78
Kigali,2020-03-31,3.1,0.09
Kigali,2020-06-30,586.73,41.07
Kigali,2020-09-30,1323.41,-54.49000000000001
Kinshasa,2017-03-31,366.62,25.66
Kinshasa,2017-06-30,335.87,30.23
Kinshasa,2017-09-30,1288.96,-17.16
Kinshasa,2017-12-31,0.0,0.0
Kinshasa,2018-03-31,750.42,0.0
Kinshasa,2018-06-30,964.77,84.83
Kinshasa,2018-09-30,0.0,0.0
Kinshasa,2018-12-31,895.19,-53.71
Kinshasa,2019-03-31,572.58,50.35
Kinshasa,2019-06-30,678.29,-27.13
Kinshasa,2019-09-30,91.24,-7.3
Kinshasa,2019-12-31,0.0,0.0
Kinshasa,2020-03-31,945.06,47.25
Kinshasa,2020-06-30,305.95,12.24
Kinshasa,2020-09-30,952.14,0.0
Kumasi,2017-03-31,475.95,-7.4
Kumasi,2017-06-30,0.0,0.0
Kumasi,2017-09-30,977.69,-9.78
Kumasi,2017-12-31,900.53,-72.04
Kumasi,2018-03-31,102.1,-5.11
Kumasi,2018-06-30,783.41,23.5
Kumasi,2018-09-30,382.61,0.0
Kumasi,2018-12-31,432.15,43.22
Kumasi,2019-03-31,1442.88,1.8099999999999987
Kumasi,2019-06-30,0.0,0.0
Kumasi,2019-09-30,472.79999999999995,20.15
Kumasi,2019-12-31,0.0,0.0
Kumasi,2020-03-31,123.38,-6.17
Kumasi,2020-06-30,817.72,8.18
Kumasi,2020-09-30,188.56,3.77
Kumasi,2020-12-31,432.32,17.29
Lagos,2017-03-31,1267.5,-60.21
Lagos,2017-06-30,0.0,0.0
Lagos,2017-09-30,671.31,-19.049999999999997
Lagos,2017-12-31,0.0,0.0
Lagos,2018-03-31,213.25,-14.93
Lagos,2018-06-30,964.45,-11.57
Lagos,2018-09-30,0.0,0.0
Lagos,2018-12-31,646.36,-51.71
Lagos,2019-03-31,309.47,-9.28
Lagos,2019-06-30,528.27,-42.26
Lagos,2019-09-30,83.74,1.67
Lagos,2019-12-31,423.18,-29.62
Lagos,2020-03-31,371.32,26.95
Lagos,2020-06-30,0.0,0.0
Lagos,2020-09-30,171.36,0.0
Lagos,2020-12-31,119.23,-8.35
Libreville,2017-03-31,1936.96,67.64
Libreville,2017-06-30,914.72,0.0
Libreville,2017-09-30,950.34,-66.52
Libreville,2017-12-31,0.0,0.0
Libreville,2018-03-31,651.85,13.04
Libreville,2018-06-30,183.0,16.47
Libreville,2018-09-30,53.37,-4.27
Libreville,2018-12-31,692.57,0.0
Libreville,2019-03-31,46.01,4.6
Libreville,2019-06-30,1272.35,7.75
Libreville,2019-09-30,0.0,0.0
Libreville,2019-12-31,771.44,77.14
Libreville,2020-03-31,209.14,-8.37
Libreville,2020-06-30,1262.8899999999999,-101.03
Libreville,2020-09-30,157.86,-7.89
Lilongwe,2017-03-31,841.0,8.41
Lilongwe,2017-06-30,855.49,43.69
Lilongwe,2017-09-30,0.0,0.0
Lilongwe,2017-12-31,159.38,-12.75
Lilongwe,2018-03-31,794.58,23.84
Lilongwe,2018-06-30,1462.66,-14.870000000000001
Lilongwe,2018-09-30,753.87,-37.69
Lilongwe,2018-12-31,0.0,0.0
Lilongwe,2019-03-31,538.35,0.0
Lilongwe,2019-06-30,317.87,31.79
Lilongwe,2019-09-30,1022.6700000000001,52.44
Lilongwe,2019-12-31,0.0,0.0
Lilongwe,2020-03-31,1117.39,-30.5
Lilongwe,2020-06-30,0.0,0.0
Lilongwe,2020-09-30,459.39,18.38
Lilongwe,2020-12-31,695.82,62.62
Lome,2017-03-31,482.28000000000003,27.55
Lome,2017-06-30,572.06,17.16
Lome,2017-09-30,0.0,0.0
Lome,2017-12-31,885.66,-70.85
Lome,2018-03-31,398.27,20.39
Lome,2018-06-30,0.0,0.0
Lome,2018-09-30,10.76,0.54
Lome,2018-12-31,175.47,0.0
Lome,2019-03-31,721.02,40.199999999999996
Lome,2019-06-30,0.0,0.0
Lome,2019-09-30,1535.77,-63.58
Lome,2019-12-31,0.0,0.0
Lome,2020-03-31,992.23,-19.84
Lome,2020-06-30,568.88,-15.020000000000001
Lome,2020-09-30,0.0,0.0
Lome,2020-12-31,346.36,-24.25
Luanda,2017-03-31,93.2,7.46
Luanda,2017-06-30,688.25,68.83
Luanda,2017-09-30,670.01,47.53
Luanda,2017-12-31,0.0,0.0
Luanda,2018-03-31,46.15,-3.23
Luanda,2018-06-30,743.2099999999999,-20.24
Luanda,2018-09-30,0.0,0.0
Luanda,2018-12-31,573.24,-40.13
Luanda,2019-03-31,421.39,-25.28
Luanda,2019-06-30,39.8,-3.18
Luanda,2019-09-30,703.0699999999999,34.61
Luanda,2019-12-31,0.0,0.0
Luanda,2020-03-31,460.06,41.41
Luanda,2020-06-30,398.18,-19.91
Luanda,2020-09-30,366.34,0.0
Luanda,2020-12-31,878.19,61.47
Lubumbashi,2017-03-31,40.85,-2.04
Lubumbashi,2017-06-30,447.06,-26.82
Lubumbashi,2017-09-30,895.59,80.6
Lubumbashi,2017-12-31,788.25,39.41
Lubumbashi,2018-03-31,115.0,1.15
Lubumbashi,2018-06-30,34.82,3.13
Lubumbashi,2018-09-30,1694.9,35.91
Lubumbashi,2018-12-31,0.0,0.0
Lubumbashi,2019-03-31,801.68,72.15
Lubumbashi,2019-06-30,907.5699999999999,-5.51
Lubumbashi,2019-09-30,158.64,15.86
Lubumbashi,2019-12-31,0.0,0.0
Lubumbashi,2020-03-31,103.06,5.05
Lubumbashi,2020-06-30,42.9,3.0
Lubumbashi,2020-09-30,877.54,78.98
Lusaka,2017-03-31,222.26,20.0
Lusaka,2017-06-30,751.73,-15.03
Lusaka,2017-09-30,981.03,12.860000000000003
Lusaka,2017-12-31,0.0,0.0
Lusaka,2018-03-31,371.36,-29.71
Lusaka,2018-06-30,1124.3899999999999,-44.74
Lusaka,2018-09-30,226.85,18.15
Lusaka,2018-12-31,0.0,0.0
