国家,日期,销售额,利润
Niger,2020-12-31,3471.2799999999997,-71.74
Nigeria,2017-12-31,9327.34,-99.83999999999999
Nigeria,2018-12-31,6618.11,49.77999999999999
Nigeria,2019-12-31,5847.1,-14.139999999999999
Nigeria,2020-12-31,8187.76,151.44
Rwanda,2017-12-31,1582.09,17.83
Rwanda,2018-12-31,2414.48,8.520000000000001
Rwanda,2019-12-31,2122.28,5.890000000000001
Rwanda,2020-12-31,1913.24,-13.330000000000002
Sao Tome and Principe,2017-12-31,1845.64,66.19
Sao Tome and Principe,2018-12-31,1821.23,0.3200000000000003
Sao Tome and Principe,2019-12-31,3015.0099999999998,-84.43
Sao Tome and Principe,2020-12-31,1943.3300000000002,48.31
Senegal,2017-12-31,940.24,24.97
Senegal,2018-12-31,2186.12,-125.88
Senegal,2019-12-31,1409.01,92.33000000000001
Senegal,2020-12-31,907.2,35.8
Seychelles,2017-12-31,1624.19,-29.21
Seychelles,2018-12-31,1363.0,-30.23
Seychelles,2019-12-31,1966.63,-116.39
Seychelles,2020-12-31,949.2,31.889999999999997
Sierra Leone,2017-12-31,2147.84,-17.560000000000002
Sierra Leone,2018-12-31,1797.2,58.85
Sierra Leone,2019-12-31,1737.4099999999999,-42.059999999999995
Sierra Leone,2020-12-31,1410.68,-16.540000000000003
Somalia,2017-12-31,2640.3,17.68
Somalia,2018-12-31,1820.88,118.96000000000001
Somalia,2019-12-31,2227.6099999999997,64.1
Somalia,2020-12-31,1544.08,108.88
South Africa,2017-12-31,9143.24,107.76
South Africa,2018-12-31,10641.5,348.21000000000004
South Africa,2019-12-31,8944.4,-45.61
South Africa,2020-12-31,7971.1900000000005,-12.129999999999995
South Sudan,2017-12-31,1342.1100000000001,-82.19
South Sudan,2018-12-31,2214.43,129.71
South Sudan,2019-12-31,2428.84,-87.27000000000001
South Sudan,2020-12-31,1779.3,26.939999999999994
Sudan,2017-12-31,3202.37,94.82
Sudan,2018-12-31,5184.47,43.37
Sudan,2019-12-31,3934.85,39.52
Sudan,2020-12-31,4690.8,56.370000000000005
Swaziland,2017-12-31,2806.05,-50.120000000000005
Swaziland,2018-12-31,2740.11,227.19000000000003
Swaziland,2019-12-31,1707.73,20.03
Swaziland,2020-12-31,2166.13,-6.18
Togo,2017-12-31,1940.0,-26.139999999999993
Togo,2018-12-31,584.5,20.93
Togo,2019-12-31,2256.79,-23.380000000000006
Togo,2020-12-31,1907.47,-59.11
Tunisia,2017-12-31,2409.2799999999997,52.93
Tunisia,2018-12-31,1709.3,122.31
Tunisia,2019-12-31,1535.48,84.14999999999999
Tunisia,2020-12-31,1854.5,35.879999999999995
Uganda,2017-12-31,2085.6099999999997,-26.059999999999995
Uganda,2018-12-31,1772.5500000000002,29.849999999999994
Uganda,2019-12-31,1900.8,-35.260000000000005
Uganda,2020-12-31,2482.83,136.76999999999998
United Republic of Tanzania,2017-12-31,1264.71,20.75
United Republic of Tanzania,2018-12-31,1084.65,-24.96
United Republic of Tanzania,2019-12-31,2111.52,49.53999999999999
United Republic of Tanzania,2020-12-31,2096.2,-62.29
Western Sahara,2017-12-31,2336.7200000000003,155.14
Western Sahara,2018-12-31,2040.46,29.61
Western Sahara,2019-12-31,1662.53,41.85
Western Sahara,2020-12-31,1120.6799999999998,43.45
Zambia,2017-12-31,1955.02,17.83
Zambia,2018-12-31,1722.6,-56.300000000000004
Zambia,2019-12-31,1949.24,92.63
Zambia,2020-12-31,1623.8,-43.05
Zimbabwe,2017-12-31,1950.22,-75.17
Zimbabwe,2018-12-31,2714.19,6.209999999999999
Zimbabwe,2019-12-31,2193.43,-18.61
Zimbabwe,2020-12-31,1425.48,-14.67
